"Add store","Winkel toevoegen"
"Street","Straat"
"House number","Huisnummer"
"Postal","Postcode"
"Phone number","Telefoonnummer"
"E-mail address","E-mailadres"
"Textual position","Tekstuele positie"
"Bank number","Bankrekening"
"Can pickup","Afhalen mogelijk"
"Can send","Verzending mogelijk"
"Send costs","Verzendkosten"
"Ghost from","Spook van"
"Open on Sunday","Open op zondag"
"Open on Monday","Open op maandag"
"Open on Tuesday","Open op dinsdag"
"Open on Wednesday","Open op woensdag"
"Open on Thursday","Open op donderdag"
"Open on Friday","Open op vrijdag"
"Open on Saturday","Open op zaterdag"
"Longitude","Lengtegraad"
"Latitude","Breedtegraad"
"Save And Continue Edit","Tussentijds opslaan"
"Housenr","Huisnr"
