"Category On Sale Label","Category On Sale Label"
"Product On Sale Label","Product On Sale Label"
"Product New Label","Product New Label"
"Category New Label","Category New Label"
"Display","Display"
"Position","Position"
"Image","Image"
"Text","Text"
"Days","Days"
"Overrides On Sale Label","Overrides On Sale Label"
"On Sale","On Sale"
"Top-Left","Top-Left"
"Top-Center","Top-Center"
"Top-Right","Top-Right"
"Bottom-Left","Bottom-Left"
"Bottom-Center","Bottom-Center"
"Bottom-Right","Bottom-Right"
"Yes","Yes"
"No","No"
"Overrides Native Product "New" Period","Overrides Native Product "New" Period"
"Threshold (%)","Threshold (%)"
"Discount threshold to make labels appear (e.g. 10)","Discount threshold to make labels appear (e.g. 10)"
