"Ajax Search","Ajax Search"
"Enable Ajax Search","Enable Ajax Search"
"Minimal number of chars to show suggest","Minimal number of chars to show suggest"
"Suggest window height","Suggest window height"
"Suggest window width","Suggest window width"
"Invitation text in search input field","Invitation text in search input field"
"Maximum number of products to show","Maximum number of products to show"
"Show ajax loader icon","Show ajax loader icon"
"Sort results by field","Sort results by field"
"Sort results order","Sort results order"
"Show products short description","Show products short description"
"Number of short description chars to showshow","Number of short description chars to showshow"
"Show products thumbnail","Show products thumbnail"
"Thumbnail height","Thumbnail height"
"Thumbnail width","Thumbnail width"
"Show left search box","Show left search box"
"Show right search box","Show right search box"
"Product name","Product name"
"Product base price","Product base price"
"Product SKU","Product SKU"
"Descending","Descending"
"Ascending","Ascending"
"General","General"
"Email and Name required","Email and Name required"
"Your must login","Your must login"
"Sorry, but we think you\'re a spammer.","Sorry, but we think you\'re a spammer."
"Your question has been accepted for moderation","Your question has been accepted for moderation"
"Sorry, only logined customer can add self answer.","Sorry, only logined customer can add self answer."
"Sorry, only logined customer can hint.","Sorry, only logined customer can hint."
"Sorry, already voted","Sorry, already voted"
"Questions Manager","Questions Manager"
"Question","Question"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Ask a question and Give an answer. Help your fellow customer.","Ask a question and Give an answer. Help your fellow customer."
"There is no products questions yet.","There is no products questions yet."
"Products Questions","Products Questions"
"Search","Search"
"Search Site","Search Site"
"Search entire store here","Search entire store here"
"Advanced search","Advanced search"
"Search attributes","Search attributes"
"Search header text","Search header text"
"Search footer text","Search footer text"
