"%s days","%s jours"
"Access denied!","Accès refusé !"
"Account Information","Information Compte"
"Action is blocked in quote confirmation mode","Action bloqué dans mode de confirmation de devis"
"Add to Cart","Ajouter au panier"
"Add to Quote","Ajouter à ma sélection"
"Address","Adresse"
"All items were moved to cart successfully.","Tous les produits ont été ajouté au panier."
"Allowed to Quote Mode","Permis d'ajouter au devis"
"Atr. nr.","Référence"
"Back to My Quotes","Retour à mes devis"
"Be advised to enter your comments","Be advised to enter your comments, desired quantities and details only when you're done shopping. This information will be lost when leaving this screen without submitting your Request. If you have an account with us, please login first."
"Billing address wasn't added","Adresse de facturation pas renseignée"
"By deleting an item, you will create a new quote request. Do you want to do this?","Si vous supprimez un article vous allez générer une nouvelle demande de devis. Voulez-vous continuer?"
"Can not add client note request to the product.","Impossible d'ajouter la note"
"Can not add customer address.","Impossible d'ajouter l'adresse client"
"Can not add one of the items to quote request.","Impossible d'ajouter un des articles à la demande de devis."
"Can't remove item","Impossible de supprimer l'article"
"Can't update quote list","Impossible de mettre à jour la liste"
"Cancel","Annuler"
"cart2quote cancel","cart2quote cancelled"
"cart2quote new account","cart2quote new account"
"cart2quote proposal","cart2quote proposal"
"cart2quote reject","cart2quote rejected"
"cart2quote request","cart2quote new request"
"Change to Order mode?","Changer en mode commande ?"
"Change to Quotation mode?","Changer en mode devis ?"
"Change to Quote mode?","Changer en mode devis ?"
"Checking..","Contrôle..."
"City","Ville"
"Company","Société"
"Confirm and CheckOut","Confirmer et aller à la caisse"
"Continue","Continuer"
"Continue Shopping","Continuer mes achats"
"Country","Pays"
"Customer email already exists. You should login here","Adresse email déjà existante. Veuillez vous <a href=%s>connecter</a>"
"Date","Date"
"Date of Proposal","Date de la proposel"
"Default Address","Adresse par défaut"
"Do you have a general remark with your quote request?","Avez vous une remarque générale pour cette demande de devis ?"
"Edit Quote","Editer Devis"
"Email Address","Adresse email"
"Email already exists","Adresse email existe déjà"
"Enter your destination to get a shipping quotation","Entrez votre destination pour recevoir un devis de livraison"
"Enter your details to get a price proposal","Entrez vos coordonnés pour recevoir un devis"
"Fax","Fax"
"First Name","Prénom"
"Fixed Shipping & Handling price","Fixed Shipping & Handling price"
"Information by Quote request avaliable by link below","Information de devis accessible par le lien suivant"
"Item %s wasn't  moved to Shopping cart","Article %s n'a pas été bougé au panier"
"Item %s wasn't  removed from Quote mode","Article %s n'a pas été retiré du mode de devis"
"Item was deleted successfully.","Article supprimé."
"Item was moved to cart successfully.","Article a bien été ajouté au panier."
"Item was moved to quote successfully.","Article placé dans demande de devis."
"Item(s) were moved from Quote to Order mode successfully.","Article(s) ont été bougé(s) du devis au panier avec succès."
"Items Quoted","Articles demandés"
"Last Name","Nom"
"Log in and <a href='%s'>click on to View Quote.</a>","Veuillez vous connecter et <a href='%s'>cliquer sur voir devis.</a>"
"My Quote list","Ma demande de devis"
"My quote request","Ma demande de devis"
"My quote request (%s item)","Ma demande de devis (%s item)"
"My quote request (%s items)","Ma demande de devis (%s items)"
"My Quotes","Mes devis"
"New Address","Nouvelle adresse"
"No item in quote.","Pas de demandes dans la liste des demandes de devis."
"No Items to display.","Pas de lignes à afficher."
"Order Mode","Mode commmande"
"Original Price","Prix original"
"Owner price","Propose de prix"
"Please enter an valid email address","Veuillez entrer une adresse email valide"
"Please select region, state or province","Veuillez sélectionner la région, l'état ou la province"
"Please select required qty and check out online to see applicable price.","Veuillez sélectionner la quantité souhaitée et regarder en ligne pour être informé sur le prix exacte."
"Please specify product quantity.","Veuillez indiquer la quantité."
"Price Proposal","Propose de prix"
"Print Quote","Imprimer devis"
"Product %s successfully added to Quote Request","Article %s bien ajouté à la demande de devis"
"Product %s was deleted from your shopping cart","Article %s a été supprimé de votre panier"
"Product Name","Nom du produit"
"Proposal valid until","Devis valable jusqu'à"
"Proposal Valid Until: %s","Devis valable jusqu'à : %s"
"Qquote cancel email was't sent to admin for quote #%s","L'email pour annuler le devis n'a pas été envoyé pour la demande de devis #%s"
"Qquote proposal email was't sent to the client for quote #%s","L'email de devis n'a pas été envoyé au client pour la demande de devis #%s"
"Qquote request email was't sent to admin for quote #%s","L'email pour demande de devis n'a pas été envoyé pour demande de devis #%s"
"Qty","Qté"
"Quotation # %s","Devis # %s"
"Quotation #%s - Proposal","Demande de devis #%s"
"Quotation #%s was rejected","Devis #%s a été refusé."
"Quotation Date: %s","Date de demande de devis: %s"
"Quote","Demande de devis"
"Quote #","Devis #"
"Quote #%s","Demande de devis #%s"
"Quote List","Liste des devis"
"Quote list was updated successfully.","Liste des devis a été mise à jour avec succès."
"Quote mode","Mode devis"
"Quote Mode","Copie de devis"
"Quote Proposal","Propose de devis"
"Quote Request in Process, wait for price proposal Shopowner","Merci pour votre intérêt, nous traitons votre demande de prix dans les plus brefs délais."
"Quote request information","Information sur la demande de devis"
"Quote shipping proposal from owner","Propose de prix de livraison"
"Quote Status","Etat de la demande de devis"
"Reject Proposal","Refuser la propose"
"Remark with Proposal","Remarque sur la propose"
"Remove","Supprimer"
"Remove item","Supprimer l'article"
"Request for Quote","Demande de devis"
"Request information","Remarques avec ce produit"
"Request quote","Envoyer demande"
"Requested information","Commentaire avec le produit"
"Required Fields","Champs nécessaires"
"Resubmit Quote","Renvoyer le devis"
"ship to:","livrer à :"
"Shipping & Handling price per product per Unit","Prix de traitement et de livraison par article"
"Shipping & Handling price varies.","Le prix varie selon la quantité, le délai et la destination."
"Shipping Address","Adresse de livraison"
"Shipping details","Détails de la livraison"
"Shipping Method","Méthode de livraison"
"State/Province","Etat/province"
"Status","Etat"
"STATUS_BEGIN","Démarré"
"STATUS_CANCELED","Devis annulé"
"STATUS_CONFIRMED","Devis accepté"
"STATUS_DENIED","Devis refusé"
"STATUS_PROPOSAL","Devis envoyé"
"STATUS_PROPOSAL_EXPIRED","Devis expiré"
"STATUS_PROPOSAL_SAVED","Devis sauvegardé"
"STATUS_REJECTED","Supprimé"
"STATUS_REQUEST","En traitement"
"STATUS_REQUEST_EXPIRED","Demande expirée"
"Switch to Order mode","Changer au mode commande"
"Switch to Quote mode","Changer au mode devis"
"TAX","Taxe"
"Telephone","Télephone"
"Thank you for your interest!","Merci pour votre intérêt !"
"Thanks for your Quote request.","Merci pour votre demande de devis."
"The address was successfully saved","L'adresse a été sauvegardée."
"There are <a href=%s><strong>%s items</strong></a> in your quote list.","Il'y a <a href=%s><strong>%s devis</strong></a> dans votre liste de devis."
"There is <a href=%s><strong>1 item</strong></a> in your quote list.","Il'y a <a href=%s><strong>un devis</strong></a> dans la liste."
"This item will be removed from the list if you continue:","Les articles suivants vont être supprimé de la liste si vous continuez :"
"The following item will not be added to the quotation list if you continue:","The following item(s) will not be added to the quotation list if you continue:"
"This order list contains items that cannot quoted.","La sélection contient des articles qui ne peuvent pas être demandés en devis."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Pour ajouter un article à la demande de devis <a href='%s'>veuillez vous déconnecter</a> du mode de confirmation de devis."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>","Pour ajouter un article à votre demande de devis <a href='%s'>changer au mode devis.</a>"
