" and "," en "
"(Absolute path or Relative to Magento install root, ex. var/export)", "(Absoluut pad of in verhouding tot installatie van Magento root, ex. Var / export)"
"(For US 2-letter state names)", "(Voor de Amerikaanse 2-letters voor de staat namen)"
"(If left empty will be auto-generated)", "(Indien leeg gelaten zal het automatisch worden gegenereerd)"
"(Leave empty for first spreadsheet)", "(Leeg laten voor de eerste spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)", "(De producten zullen worden toegevoegd / bijgewerkt in deze winkel als 'winkel' kolom leeg is of ontbreekt in het importbestand.)"
"(Shift-)Click or drag to change value", "(Shift-) Klik of sleep om de waarde te veranderen"
"(Starting with)", "(Beginnend met)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)", "(Als 'Nee', dan zullen alleen in kaart gebrachte velden worden ingevoerd. Bij het maken, gebruik 'kolom1', 'kolom2', enz.)"
"(You have to increase php memory_limit before changing this value)", "(Je moet de php memory_limit verhogen vóór het veranderen van deze waarde)"
"(\\t for tab)", "(\ \ T voor tabblad)"
"- Click on any of the time parts to increase it", "- Klik op een van de tijd onderdelen om het te verhogen"
"- Hold mouse button on any of the above buttons for faster selection.","- Houd de muis op een van de bovenstaande knoppen voor een snellere selectie."
"- Use the %s buttons to select month", "- Gebruik de % s toetsen om een maand te selecteren"
"- Use the %s, %s buttons to select year", "- Gebruik de %s, %s knoppen om een jaar te selecteren"
"- or Shift-Click to decrease it", "- Of Shift-klik om het te verlagen"
"- or Click and drag for faster selection.", "- Of klik en sleep voor een snellere selectie."
"-- Please Select Billing Agreement--", "- Selecteer Facturering overeenkomst -"
"About the calendar", "Over de kalender"
"Access denied.", "Toegang geweigerd."
"Account Created in:", "Account Gemaakt in:"
"Account Created on (%s):", "Account Gemaakt op (%s):"
"Account Created on:", "Account Gemaakt op:"
"Action", "Actie"
"Actions", "Acties"
"Add Author", "Voeg Auteur toe"
"Add Contents Path", "Voeg Inhoud Pad toe"
"Add Field with URL:", "Veld toevoegen met URL:"
"Add New Role", "Voeg een nieuwe rol toe"
"Add New User", "Nieuwe gebruiker toevoegen"
"Add PHP Extension dependency", "Voeg PHP Extension afhankelijkheid toe"
"Add Package dependency", "Voeg Pakket afhankelijkheid toe"
"Address Type:", "Adres Type:"
"All", "Alle"
"All Websites", "Alle Websites"
"All fields", "Alle velden"
"Archive file name:", "Archief bestandsnaam:"
"Are you sure that you want to delete this template?", "Weet u zeker dat u deze Template wilt verwijderen?"
"Are you sure that you want to strip tags?", "Weet u zeker dat u tags wilt strippen?"
"Attribute Set Name:", "Attribute Set Naam:"
"Attributes", "Attributen"
"Authors", "Auteurs"
"Available Products", "Beschikbare producten"
"Big Image", "Grote Afbeelding"
"Billing Address", "Factuuradres"
"Billing Agreement", "Factuur overeenkomst"
"Bundle Items", "Bundel Artikelen"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.", "Bundel met dynamische prijzen kunnen geen aangepaste gedefinieerde opties. Opties worden niet opgeslagen."
"CSV / Tab separated", "CSV / Tab gescheiden"
"Card Verification Number", "Kaart Verificatie Nummer"
"Catalog", "Catalogus"
"Channel", "Channel"
"Child Transactions", "Kind Transacties"
"Choose Store View", "Kies Store View"
"Clear", "Wis"
