"Abandoned Carts","Achtergelaten Winkelwagens"
"Abandoned carts","Achtergelaten winkelwagens"
"Action","Actie"
"Add to Cart","Voeg toe aan winkelwagen"
"Add to Compare","Voeg toe aan vergelijking"
"Add to Wishlist","Voeg toe aan verlanglijst"
"Any","Elke"
"Applied Coupon","Toegepaste Coupon"
"Applies to Any of the Specified Order Statuses","Van toepassing op elk van de aangegeven bestelling statussen"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Weet je zeker dat je de levenslange statistieken wilt vernieuwen? Er kan invloed zijn op de prestatie tijdens deze operatie."
"Are you sure?","Weet je het zeker?"
"Avg. Approved Rating","Gem. Goedgekeurde Beoordeling"
"Avg. Rating","Gem. Beoordeling"
"Bestsellers","Bestsellers"
"Bought from wishlists","Gekocht van verlanglijstjes"
"CSV","CSV"
"Carts","Winkelwagens"
"Compared Products Grid Template","Vergeleken producten Grid Template"
"Compared Products List Template","Vergeleken producten Lijst Template"
"Coupons","Coupons"
"Coupons Usage Report","Gebruik van coupons verslag"
"Created At","Gemaakt op"
"Current Month Starts","Huidige maand begint"
"Customer","Klant"
"Customer Name","Klantnaam"
"Customer Tags","Klant Tags"
"Customers","Klanten"
"Customers Report","Klanten Verslagen"
"Customers Reviews","Klanten Recensies"
"Customers Tags","Klanten Tags"
"Customers by Number of Orders","Klanten op Aantal Bestellingen"
"Customers by Orders Total","Klanten op Totale Bestellingen"
"Customers by number of orders","Klanten op aantal bestellingen"
"Customers by orders total","Klanten op totale bestellingen"
"Customers that have wishlist: %s%","Klanten die een verlanglijstje hebben: %s%"
"Dashboard","Dashboard"
"Day","Dag"
"Default Recently Compared Products Count","Standaard Recentelijk vergeleken producten Aantal"
"Default Recently Viewed Products Count","Standaard Recentelijk bekeken producten Aantal"
"Description","Beschrijving"
"Detail","Detail"
"Downloads","Downloads"
"Email","E-mail"
"Empty Rows","Lege rijen"
"Excel","Excel"
"Filter","Filter"
"First Name","Voornaam"
"From","Van"
"Guest","Gast"
"Hits","Hits"
"ID","ID"
"IP Address","IP-adres"
"Index model name must be defined","Index modelnaam moeten worden gedefinieerd"
"Invalid date specified.","Ongeldige datum opgegeven."
"Invoiced","Gefactureerd"
"Items in Cart","Artikelen in winkelwagen"
"Last Name","Achternaam"
"Last Review","Laatste Recensies"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lijst van producten recentelijk vergeleken en verwijderd uit de vergelijklijst door de bezoeker"
"List of Products Recently Viewed by Visitor","Lijst van producten recentelijk bekeken door de bezoeker"
"Low Stock","Kleine Voorraad"
"Low stock","Kleine voorraad"
"Match Period To","Periode komt overeen met"
"Month","Maand"
"Most Viewed","Meest bekeken"
"Name","Naam"
"New Accounts","Nieuwe accounts"
"No","Nee"
"No records found for this period.","Geen records gevonden voor deze periode."
"Number Added","Aantal Toegevoegd"
"Number Fulfilled","Aantal Vervuld"
"Number Of Reviews","Aantal Recensies"
"Number Purchased","Aantal Gekocht"
"Number Viewed","Aantal Bekeken"
"Number of Items","Aantal Artikelen"
"Number of New Accounts","Aantal Nieuwe Accounts"
"Number of Products to display","Aantal Producten weer te geven"
"Number of Reviews","Aantal Recensies"
"Number of Times Deleted","Aantal keren verwijderd"
"Number of Total Tags","Totaal Aantal Tags"
"Number of Unique Tags","Aantal Unieke Tags"
"Number of Views","Aantal keer bekeken"
"Number of items bought from a wishlist: %s","Aantal artikelen gekocht van een verlanglijstje: %s"
"Number of times wishlists have been shared (emailed): %s","Aantal keer dat verlanglijstjes zijn gedeeld (per e-mail): %s"
"Number of wishlist conversions: %s","Aantal verlanglijst conversies: %s"
"Number of wishlist referrals: %s","Aantal verlanglijst verwijzingen: %s"
"Number of wishlists: %s","Aantal verlanglijsten: %s"
"Order Status","Bestellings Status"
"Order Taxes Report Grouped by Tax Rate","Bestel BTW Verslag Gegroepeerd per BTW Tarief"
"Orders","Bestellingen"
"Out of stock","Niet op voorraad"
"Period","Periode"
"Poducts Report","Producten Verslag"
"Popular Tags","Populaire Tags"
"Popularity","Populariteit"
"Price","Prijs"
"Product Name","Product Naam"
"Product Reviews","Product Recensies"
"Product SKU","Product-SKU"
"Product Tags","Product Tags"
"Products","Producten"
"Products Ordered","Bestelde producten"
"Products Report","Producten Verslag"
"Products Reviews","Producten Recensies"
"Products Tags","Producten Tags"
"Products in carts","Producten in winkelwagens"
"Purchases","Aankopen"
"Quantity Ordered","Bestelde hoeveelheid"
"Quantity of Items","Aantal artikelen"
"Recently Compared","Recent vergeleken"
"Recently Compared Products","Recent vergeleken producten"
"Recently Viewed","Recent bekeken"
"Recently Viewed Products","Recent bekeken producten"
"Recently Viewed/Compared Products","Recent bekeken/vergeleken producten"
"Refresh Lifetime Statistics","Levenslange Statistieken Vernieuwen"
"Refresh Statistics","Statistieken Vernieuwen"
"Refresh Statistics for the Last Day","Statistieken voor de laatste dag Vernieuwen"
"Refunds","Terugbetalingen"
"Report","Verslag"
"Reports","Verslagen"
"Results","Resultaten"
"Revenue","Inkomsten"
"Review","Recensie"
"Reviews","Recensies"
"Reviews for %s","Recensies voor %s"
