"Customer was redirected","Klant is doorgestuurd"
"Invoice #%s created","Factuur #%s gemaakt"
"You will be redirected to your bank in a few seconds.","U wordt doorgestuurd, moment geduld a.u.b..."
"Pending Directebanking","In behandeling bij Directebanking"
"Country: %s","Land: %s"
"AT", "Oostenrijk"
"BE", "België"
"CH", "Zwitserland"
"DE", "Duitsland"
"GB", "Engeland"
"NL", "Nederland"
"Order #%s refunded", "Bestelling #%s terugbetaald"
"The order: #%s has been refunded.\nPay.nl information:\nOrder code: %s\nNo further notifications for this will be available.", "De bestelling: #%s is terugbetaald.\nPay.nl informatie:\nOrder code: %s\nEr worden verder geen notificaties gedaan."
